,timestamp,uid,dtype,lat,lon,geometry,acc,tz,class,transform
6638,1589478662,037f0b170869db4be56a791c6c887e5b20f86bdba03421ba3a8229ddea6f1fe2,0,35.5912609,-95.2663215,POINT (-95.2663215 35.5912609),3400,-18000,OTHER,KEEP
29728,1589650136,05bd8133882bab54e9260df62c00a6f211c1e171cc1291a8f390e8d7a308db1e,0,35.6496926,-95.4493507,POINT (-95.4493507 35.6496926),9,-18000,OTHER,KEEP
29727,1589650182,05bd8133882bab54e9260df62c00a6f211c1e171cc1291a8f390e8d7a308db1e,0,35.6377059,-95.4574636,POINT (-95.4574636 35.6377059),4,-18000,OTHER,KEEP
30013,1589650227,05bd8133882bab54e9260df62c00a6f211c1e171cc1291a8f390e8d7a308db1e,0,35.6251166,-95.4647111,POINT (-95.4647111 35.6251166),9,-18000,OTHER,KEEP
30012,1589650272,05bd8133882bab54e9260df62c00a6f211c1e171cc1291a8f390e8d7a308db1e,0,35.6130526,-95.4719351,POINT (-95.4719351 35.6130526),9,-18000,OTHER,KEEP
29960,1589650318,05bd8133882bab54e9260df62c00a6f211c1e171cc1291a8f390e8d7a308db1e,0,35.6010311,-95.4796385,POINT (-95.4796385 35.6010311),9,-18000,OTHER,KEEP
29959,1589650365,05bd8133882bab54e9260df62c00a6f211c1e171cc1291a8f390e8d7a308db1e,0,35.5892029,-95.4885775,POINT (-95.4885775 35.5892029),3,-18000,OTHER,KEEP
29768,1589650409,05bd8133882bab54e9260df62c00a6f211c1e171cc1291a8f390e8d7a308db1e,0,35.5756433,-95.491247,POINT (-95.491247 35.5756433),3,-18000,OTHER,KEEP
29447,1589683621,05bd8133882bab54e9260df62c00a6f211c1e171cc1291a8f390e8d7a308db1e,0,35.6515372,-95.4476951,POINT (-95.4476951 35.6515372),4,-18000,OTHER,KEEP
33512,1589461671,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.65064,-95.309469,POINT (-95.309469 35.65064),4,-18000,OTHER,KEEP
33389,1589461716,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.637504,-95.302632,POINT (-95.302632 35.637504),4,-18000,OTHER,KEEP
33272,1589461761,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.625627,-95.292417,POINT (-95.292417 35.625627),4,-18000,OTHER,KEEP
33373,1589461806,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.61345,-95.282829,POINT (-95.282829 35.61345),4,-18000,OTHER,KEEP
33125,1589461851,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.6013,-95.273199,POINT (-95.273199 35.6013),4,-18000,OTHER,KEEP
33121,1589461896,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.589249,-95.263654,POINT (-95.263654 35.589249),4,-18000,OTHER,KEEP
33555,1589461941,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.577009,-95.254019,POINT (-95.254019 35.577009),4,-18000,OTHER,KEEP
32633,1589500212,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.57878,-95.255235,POINT (-95.255235 35.57878),6,-18000,OTHER,KEEP
32634,1589500257,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.591088,-95.264973,POINT (-95.264973 35.591088),4,-18000,OTHER,KEEP
32629,1589500302,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.603364,-95.274673,POINT (-95.274673 35.603364),5,-18000,OTHER,KEEP
32564,1589500347,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.615648,-95.284382,POINT (-95.284382 35.615648),5,-18000,OTHER,KEEP
32573,1589500392,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.627947,-95.294072,POINT (-95.294072 35.627947),5,-18000,OTHER,KEEP
32574,1589500397,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.629293,-95.295157,POINT (-95.295157 35.629293),5,-18000,OTHER,KEEP
32678,1589500442,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.641222,-95.305481,POINT (-95.305481 35.641222),4,-18000,OTHER,KEEP
32679,1589500490,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.654835,-95.30959,POINT (-95.30959 35.654835),4,-18000,OTHER,KEEP
32677,1589547940,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.64812,-95.308932,POINT (-95.308932 35.64812),5,-18000,OTHER,KEEP
32565,1589547985,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.635094,-95.300469,POINT (-95.300469 35.635094),6,-18000,OTHER,KEEP
32572,1589548030,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.623076,-95.290417,POINT (-95.290417 35.623076),5,-18000,OTHER,KEEP
32501,1589548076,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.610868,-95.280781,POINT (-95.280781 35.610868),6,-18000,OTHER,KEEP
32517,1589548120,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.598693,-95.271155,POINT (-95.271155 35.598693),5,-18000,OTHER,KEEP
32635,1589548166,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.586428,-95.261487,POINT (-95.261487 35.586428),5,-18000,OTHER,KEEP
33005,1589659233,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.579706,-95.256004,POINT (-95.256004 35.579706),4,-18000,OTHER,KEEP
32824,1589659278,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.591945,-95.265684,POINT (-95.265684 35.591945),4,-18000,OTHER,KEEP
33017,1589659323,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.604126,-95.275324,POINT (-95.275324 35.604126),4,-18000,OTHER,KEEP
32859,1589659346,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.610409,-95.280264,POINT (-95.280264 35.610409),4,-18000,OTHER,KEEP
32860,1589659349,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.610962,-95.280692,POINT (-95.280692 35.610962),4,-18000,OTHER,KEEP
32861,1589659351,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.611502,-95.281114,POINT (-95.281114 35.611502),4,-18000,OTHER,KEEP
32881,1589659353,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.612046,-95.281545,POINT (-95.281545 35.612046),4,-18000,OTHER,KEEP
32882,1589659355,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.612583,-95.281965,POINT (-95.281965 35.612583),4,-18000,OTHER,KEEP
32837,1589659357,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.613124,-95.28239,POINT (-95.28239 35.613124),4,-18000,OTHER,KEEP
33001,1589659359,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.613663,-95.282814,POINT (-95.282814 35.613663),4,-18000,OTHER,KEEP
32838,1589659361,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.614206,-95.283239,POINT (-95.283239 35.614206),4,-18000,OTHER,KEEP
33000,1589659363,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.614743,-95.283665,POINT (-95.283665 35.614743),4,-18000,OTHER,KEEP
32964,1589659365,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.615286,-95.284086,POINT (-95.284086 35.615286),4,-18000,OTHER,KEEP
32965,1589659367,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.615699,-95.284414,POINT (-95.284414 35.615699),17,-18000,OTHER,KEEP
33102,1589659369,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.615697,-95.284418,POINT (-95.284418 35.615697),54,-18000,OTHER,KEEP
33028,1589659371,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.616907,-95.285397,POINT (-95.285397 35.616907),4,-18000,OTHER,KEEP
33018,1589659373,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.617455,-95.285832,POINT (-95.285832 35.617455),4,-18000,OTHER,KEEP
32897,1589659373,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.617725,-95.286047,POINT (-95.286047 35.617725),4,-18000,OTHER,KEEP
32840,1589659375,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.618282,-95.286484,POINT (-95.286484 35.618282),4,-18000,OTHER,KEEP
32841,1589659377,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.618827,-95.286912,POINT (-95.286912 35.618827),4,-18000,OTHER,KEEP
